databaseId	name	imageUrl	cardBack	type	gold	set	number	rarity	text	lore	strength	strengthModifier	loadGroupId
02Kingdom_K058	Princess Libya	wyvern/02kingdom/Wyvern-02Kingdom-PrincessLibya.jpg	default	Treasure	0	02Kingdom	58	Common-1	St. George must rescue Princess Libya instead of removing any other treasure in your battlefield.				playerNTreasureHorde
02Kingdom_K059	Oriental Princess	wyvern/02kingdom/Wyvern-02Kingdom-OrientalPrincess.jpg	default	Treasure	0	02Kingdom	59	Rare-1	Whoever wins a battle gets two gold pieces until Princess is removed from play.				playerNTreasureHorde
02Kingdom_K060	Maiden in Distress	wyvern/02kingdom/Wyvern-02Kingdom-MaidenInDistress.jpg	default	Treasure	0	02Kingdom	60	Common-1	Dragons in this row can't be killed by dragon slayers.  Any dragon slayer can remove Maiden in Distress from game.				playerNTreasureHorde
02Kingdom_K061	Firebreathing	wyvern/02kingdom/Wyvern-02Kingdom-Firebreathing.jpg	default	Battle Action	0	02Kingdom	61	Common-2	STRENGTH MODIFIER: +1			+1	playerNTreasureHorde
02Kingdom_K062	Flood	wyvern/02kingdom/Wyvern-02Kingdom-Flood.jpg	default	Battle Action	0	02Kingdom	62	Common-1	No Dwarven Armies allowed in this battle.				playerNTreasureHorde
02Kingdom_K063	Hailstorm	wyvern/02kingdom/Wyvern-02Kingdom-Hailstorm.jpg	default	Battle Action	1	02Kingdom	63	Common-2	All flying dragons lose two strength for the rest of this battle.				playerNTreasureHorde
02Kingdom_K064	Tsunami	wyvern/02kingdom/Wyvern-02Kingdom-Tsunami.jpg	default	Action	0	02Kingdom	64	Common-1	For every one of your dragons you turn face up during this action phase, draw one card from your treasure horde draw pile.  Be sure to pay for any dragons being turned up for the first time.				playerNTreasureHorde
02Kingdom_K065	High Winds	wyvern/02kingdom/Wyvern-02Kingdom-HighWinds.jpg	default	Action	4	02Kingdom	65	Rare-2	All face up flying dragons are killed.				playerNTreasureHorde
02Kingdom_K066	Help	wyvern/02kingdom/Wyvern-02Kingdom-Help.jpg	default	Battle Action	1	02Kingdom	66	Common-2	You may bring one dragon one card away into this battle.  Flying dragons can come from anywhere in your battlefield.				playerNTreasureHorde
02Kingdom_K067	Frost Breathing	wyvern/02kingdom/Wyvern-02Kingdom-FrostBreathing.jpg	default	Battle Action	0	02Kingdom	67	Common-1	No Fire Breathing can be played during this battle.				playerNTreasureHorde
02Kingdom_K068	Hero	wyvern/02kingdom/Wyvern-02Kingdom-Hero.jpg	default	Action	2	02Kingdom	68	Rare-2	One of your dragons can attack twice during your battle phase this turn.				playerNTreasureHorde
02Kingdom_K069	Poison Breathing	wyvern/02kingdom/Wyvern-02Kingdom-PoisonBreathing.jpg	default	Battle Action	0	02Kingdom	69	Common-2	The dragon that wins this battle loses 1 strength.  This takes effect after battle for rest of game.				playerNTreasureHorde
02Kingdom_K070	Sacrifice	wyvern/02kingdom/Wyvern-02Kingdom-Sacrifice.jpg	default	Battle Action	0	02Kingdom	70	Common-2	The winner of this battle must pay two gold pieces to the loser.				playerNTreasureHorde
02Kingdom_K071	Knowledge	wyvern/02kingdom/Wyvern-02Kingdom-Knowledge.jpg	default	Action	0	02Kingdom	71	Common-1	Look at a player's hand.				playerNTreasureHorde
02Kingdom_K072	Magical Sword	wyvern/02kingdom/Wyvern-02Kingdom-MagicalSword.jpg	default	Battle Action	1	02Kingdom	72	Common-2	STRENGTH MODIFIER: +2			+2	playerNTreasureHorde
02Kingdom_K073	Seaweed	wyvern/02kingdom/Wyvern-02Kingdom-Seaweed.jpg	default	Action	1	02Kingdom	73	Common-2	Seaweed is played on a face up dragon and gives that dragon a -1 strength modifer for this turn.				playerNTreasureHorde
02Kingdom_K074	Whirlpool	wyvern/02kingdom/Wyvern-02Kingdom-Whirlpool.jpg	default	Action	1	02Kingdom	74	Rare-2	Draw 2 cards from your treasure horde draw pile.				playerNTreasureHorde
02Kingdom_K075	Medea's Spell	wyvern/02kingdom/Wyvern-02Kingdom-MedeasSpell.jpg	default	Battle Action	2	02Kingdom	75	Rare-2	A dragon of your choice is now 0 base strength for the rest of this battle.	Medea is able to put dragons to sleep with her spell.			playerNTreasureHorde
02Kingdom_K076	Fireball	wyvern/02kingdom/Wyvern-02Kingdom-Fireball.jpg	default	Battle Action	3	02Kingdom	76	Common-2	STRENGTH MODIFIER: +4			+4	playerNTreasureHorde
02Kingdom_K077	Fire Bolt	wyvern/02kingdom/Wyvern-02Kingdom-FireBolt.jpg	default	Battle Action	2	02Kingdom	77	Common-2	STRENGTH MODIFIER: +3			+3	playerNTreasureHorde
02Kingdom_K078	Poison Chalice	wyvern/02kingdom/Wyvern-02Kingdom-PoisonChalice.jpg	default	Battle Action	3	02Kingdom	78	Rare-2	The side with the lowest strength wins this battle.				playerNTreasureHorde
02Kingdom_K079	Strangle Hold	wyvern/02kingdom/Wyvern-02Kingdom-StrangleHold.jpg	default	Action	1	02Kingdom	79	Rare-2	Player of your choice must discard 2 cards from his hand.				playerNTreasureHorde
02Kingdom_K080	Avalanche	wyvern/02kingdom/Wyvern-02Kingdom-Avalanche.jpg	default	Action	0	02Kingdom	80	Common-2	All face up dragons are turned face down.				playerNTreasureHorde
02Kingdom_K081	Earthquake	wyvern/02kingdom/Wyvern-02Kingdom-Earthquake.jpg	default	Action	0	02Kingdom	81	Common-1	All players must discard 1 card from their hands.				playerNTreasureHorde
02Kingdom_K082	Golden Apple	wyvern/02kingdom/Wyvern-02Kingdom-GoldenApple.jpg	default	Battle Action	1	02Kingdom	82	Common-2	The dragon you play the Golden Apple on survives this battle even if he loses.				playerNTreasureHorde
02Kingdom_K083	Armor	wyvern/02kingdom/Wyvern-02Kingdom-Armor.jpg	default	Battle Reaction	0	02Kingdom	83	Common-2	Counters any battle action card with the words STRENGTH MODIFIER on the card.				playerNTreasureHorde
02Kingdom_K084	Night	wyvern/02kingdom/Wyvern-02Kingdom-Night.jpg	default	Battle Action	0	02Kingdom	84	Common-2	Cancels current battle.  Dragons go back to their positions face up.				playerNTreasureHorde
02Kingdom_K085	St. George	wyvern/02kingdom/Wyvern-02Kingdom-StGeorge.jpg	default	Dragon Slayer Action	0	02Kingdom	85	Common-2	St. George removes any one treasure from the game.				playerNTreasureHorde
02Kingdom_K086	Sigurd	wyvern/02kingdom/Wyvern-02Kingdom-Sigurd.jpg	default	Dragon Slayer Action	1	02Kingdom	86	Common-2	Sigurd kills any dragon of 2 or less strength.				playerNTreasureHorde
02Kingdom_K087	Sir Lancelot	wyvern/02kingdom/Wyvern-02Kingdom-SirLancelot.jpg	default	Dragon Slayer Action	2	02Kingdom	87	Common-2	Sir Lancelot kills any dragon of 3 or less strength.				playerNTreasureHorde
02Kingdom_K088	Kiss of Le Succube	wyvern/02kingdom/Wyvern-02Kingdom-KissOfLeSuccube.jpg	default	Reaction	2	02Kingdom	88	Rare-2	Kiss of Le Succube is played in response to the play of a dragon slayer.  The dragon slayer is discarded with no effect and you can destroy any card on the table.				playerNTreasureHorde
02Kingdom_K089	Marina	wyvern/02kingdom/Wyvern-02Kingdom-Marina.jpg	default	Reaction	0	02Kingdom	89	Common-2	Marina counters the play of a dragon slayer.	The Russian Sorceress Marina likes to seduce brave dragon slayers and change them into harmless magpies, pigs or oxen.			playerNTreasureHorde
02Kingdom_K090	Jason	wyvern/02kingdom/Wyvern-02Kingdom-Jason.jpg	default	Dragon Slayer Action	3	02Kingdom	90	Rare-2	Jason kills any dragon.				playerNTreasureHorde
02Kingdom_K091	Shan	wyvern/02kingdom/Wyvern-02Kingdom-Shan.jpg	default	Dragon	1	02Kingdom	91	Uncommon-2	STRENGTH: 1 FLYING If Shan Dragon loses a battle you draw one card from your treasure horde draw pile.	The Shan Dragon breathes mist and illusions.	1		playerNDragonLair
02Kingdom_K092	Gani	wyvern/02kingdom/Wyvern-02Kingdom-Gani.jpg	default	Dragon	1	02Kingdom	92	Uncommon-2	STRENGTH: 3 If Gani is face up no treasure can be removed from this row by opponent.	Gani is a Persian Dragon that guards treasure.	3		playerNDragonLair
02Kingdom_K093	Hydra	wyvern/02kingdom/Wyvern-02Kingdom-Hydra.jpg	default	Dragon	0	02Kingdom	93	Uncommon-2	STRENGTH: 4 After each battle the Hydra loses 1 strength.  You may pay one gold piece to grow another head and increase the Hydra's strength by one.  You may do this once a turn.		4		playerNDragonLair
02Kingdom_K094	Grendel	wyvern/02kingdom/Wyvern-02Kingdom-Grendel.jpg	default	Dragon	1	02Kingdom	94	Rare-1	STRENGTH: 0 SCOUT Grendel steals any gold on terrain discovered by Grendel.		0		playerNDragonLair
02Kingdom_K095	Celestial	wyvern/02kingdom/Wyvern-02Kingdom-Celestial.jpg	default	Dragon	0	02Kingdom	95	Uncommon-2	STRENGTH: 5 FLYING	The Celestrial Dragon is the Dragon of Emperors and rules all Chinese Dragons.	5		playerNDragonLair
02Kingdom_K096	Mokelembembe	wyvern/02kingdom/Wyvern-02Kingdom-Mokelembembe.jpg	default	Dragon	1	02Kingdom	96	Uncommon-2	STRENGTH: 2 If Mokelembembe loses a battle you draw a card from your treasure horde draw pile.	Mokelembembe is a vegetarian dragon that lives in a river cave.	2		playerNDragonLair
02Kingdom_K097	Naga	wyvern/02kingdom/Wyvern-02Kingdom-Naga.jpg	default	Dragon	1	02Kingdom	97	Uncommon-2	STRENGTH: 3 Naga attacks at 6 strength from face down and 0 strength from face up.	Naga is a serpent of India that can appear with a human head.	3		playerNDragonLair
02Kingdom_K098	Gargouille	wyvern/02kingdom/Wyvern-02Kingdom-Gargouille.jpg	default	Dragon	1	02Kingdom	98	Uncommon-2	STRENGTH: 2 Pay one gold piece to increase strength by two for this battle.  You can only do this once per battle.	Gargouille is a French Dragon that produces and controls Gargoyles.	2		playerNDragonLair
02Kingdom_K099	Rahah	wyvern/02kingdom/Wyvern-02Kingdom-Rahah.jpg	default	Dragon	0	02Kingdom	99	Uncommon-2	STRENGTH: 1 Rahah attacks at 2 strength from face down and 0 strength from face up.	Rahah is a Biblical Dragon that can only be destroyed by White magic.	1		playerNDragonLair
02Kingdom_K100	Kioh-lung	wyvern/02kingdom/Wyvern-02Kingdom-KiohLung.jpg	default	Dragon	1	02Kingdom	100	Uncommon-2	STRENGTH: 0 SCOUT If Kioh-lung loses a battle, draw one card from your treasure horde draw pile.		0		playerNDragonLair
02Kingdom_K101	Kulkulcan	wyvern/02kingdom/Wyvern-02Kingdom-Kulkulcan.jpg	default	Dragon	1	02Kingdom	101	Uncommon-2	STRENGTH: 3 SUPER FLYER Kulkulcan can attack any card.		3		playerNDragonLair
02Kingdom_K102	Lambton Worm	wyvern/02kingdom/Wyvern-02Kingdom-LambtonWorm.jpg	default	Dragon	0	02Kingdom	102	Uncommon-2	STRENGTH: 1 Pay one gold to bring Lambton Worm from your dragon lair discard pile to a vacant position in your battlefield face down.  You can only do this once.	Lambton Worm is a serpent that can regenerate.	1		playerNDragonLair
02Kingdom_K103	Gandarewa	wyvern/02kingdom/Wyvern-02Kingdom-Gandarewa.jpg	default	Dragon	0	02Kingdom	103	Uncommon-2	STRENGTH: 3 Gandarewa attacks at 4 strength from face down and 0 strength from face up.	Gandarewa is a sea Dragon that is master of the water and its creatures.	3		playerNDragonLair
02Kingdom_K104	Ajatar	wyvern/02kingdom/Wyvern-02Kingdom-Ajatar.jpg	default	Dragon	1	02Kingdom	104	Rare-1	STRENGTH: 4 Ajatar attacks at 8 strength from face down and 0 strength from face up.	Ajatar can cause disease and curses.	4		playerNDragonLair
02Kingdom_K105	Pan Lung	wyvern/02kingdom/Wyvern-02Kingdom-PanLung.jpg	default	Dragon	1	02Kingdom	105	Uncommon-2	STRENGTH: 0 FLYING SCOUT Flying dragons lose one strength after any battle with Pan Lung.	Pan Lung is a cloud Dragon that can cause storms and create fiery water.	0		playerNDragonLair
02Kingdom_K106	Mountains	wyvern/02kingdom/Wyvern-02Kingdom-Mountains.jpg	default	Terrain	1	02Kingdom	106	Uncommon-1	STRENGTH MODIFIER: -2			-2	playerNTreasureHorde
02Kingdom_K107	Snowdrifts	wyvern/02kingdom/Wyvern-02Kingdom-Snowdrifts.jpg	default	Terrain	0	02Kingdom	107	Uncommon-1	A dragon caught in a Snowdrift must pay one gold piece to attack.				playerNTreasureHorde
02Kingdom_K108	Forest Fire	wyvern/02kingdom/Wyvern-02Kingdom-ForestFire.jpg	default	Terrain	0	02Kingdom	108	Uncommon-1	Kills any dragon that discovers it.  Replace Forest Fire then give it to opponent who can now destroy any card in play.				playerNTreasureHorde
02Kingdom_K109	Brush Fire	wyvern/02kingdom/Wyvern-02Kingdom-BrushFire.jpg	default	Terrain	2	02Kingdom	109	Uncommon-1	This dragon can't use the effects of any treasure for the rest of the game.				playerNTreasureHorde
02Kingdom_K110	Underwater Cave	wyvern/02kingdom/Wyvern-02Kingdom-UnderwaterCave.jpg	default	Terrain	2	02Kingdom	110	Uncommon-1	Dragon can only attack face up cards for the rest of the game.  If there are no face up cards he then attacks a face down card at -1 strength.				playerNTreasureHorde
02Kingdom_K111	Cauldron	wyvern/02kingdom/Wyvern-02Kingdom-Cauldron.jpg	default	Treasure	1	02Kingdom	111	Common-1	Action: On each of your turns you may turn a dragon in this row face down.				playerNTreasureHorde
02Kingdom_K112	Fountain of Youth	wyvern/02kingdom/Wyvern-02Kingdom-FountainOfYouth.jpg	default	Treasure	1	02Kingdom	112	Common-1	Battle Action: One dragon in this row can survive a lost battle.  As soon as  this happens you discard the Fountain of Youth.				playerNTreasureHorde
02Kingdom_K113	Silver Chalice	wyvern/02kingdom/Wyvern-02Kingdom-SilverChalice.jpg	default	Treasure	0	02Kingdom	113	Rare-1	Battle Action: A dragon in this row gains +1 Strength when attacking for each gold piece paid.				playerNTreasureHorde
