databaseId	name	imageUrl	cardBack	type	subtype	faction	unique	cost	terror	combat	arcane	investigation	skill	text	errata	restricted	cycle	packName	set	edition	loadGroupId
Core_Core046-R	Ravager from the Deep	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-RavagerFromTheDeep.jpg	default	Character	Deep One	Cthulhu		4		2	1		2	Villainous. Toughness +1. Forced Response: After Ravager from the Deep is committed to a story, wound all other characters at that story.		R	Core	Core	Core	LCG	playerNDeck
Core_Core047	Innsmouth Troublemaker	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-InnsmouthTroublemaker.jpg	default	Character	Servitor	Cthulhu		1					1	Toughness +1.			Core	Core	Core	LCG	playerNDeck
Core_Core048	Adult Deep One	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-AdultDeepOne.jpg	default	Character	Deep One	Cthulhu		3		2	1		1	Disrupt: Pay 2 to cancel a card effect that chooses Adult Deep One as a target.			Core	Core	Core	LCG	playerNDeck
Core_Core049	Ocean Crawlers	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-OceanCrawlers.jpg	default	Character	Monster	Cthulhu		1	1				1	Ocean Crawlers gets +1 skill for each Attachment in play.			Core	Core	Core	LCG	playerNDeck
Core_Core050	Lord of the Silver Twilight	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LordOfTheSilverTwilight.jpg	default	Character	Cultist	Cthulhu		2	1		1		2	Lower the cost to play Cthulhu by 1 (to a minimum of 1).			Core	Core	Core	LCG	playerNDeck
Core_Core051	Mature Deep One	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-MatureDeepOne.jpg	default	Character	Deep One	Cthulhu		4		2	1		3	Action: Pay 3 to choose and destroy an Attachment card.			Core	Core	Core	LCG	playerNDeck
Core_Core052	Young Deep One	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-YoungDeepOne.jpg	default	Character	Deep One	Cthulhu		2		2	1		0				Core	Core	Core	LCG	playerNDeck
Core_Core053	Sleep of Reason	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SleepOfReason.jpg	default	Support	Attachment. Environment	Cthulhu		2						Attach to a story card. Attached story gains:			Core	Core	Core	LCG	playerNDeck
Core_Core054	Sword of Y'ha-tallo	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SwordOfYhaTallo.jpg	default	Support	Attachment. Weapon	Cthulhu		0						Attach to a character. Attached character gains TC.			Core	Core	Core	LCG	playerNDeck
Core_Core055	Shadowed Reef	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ShadowedReef.jpg	default	Support	Location	Cthulhu		1						Deep One characters gain a T icon.			Core	Core	Core	LCG	playerNDeck
Core_Core056	Deep One Assault	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DeepOneAssault.jpg	default	Event		Cthulhu		X						Loyal. Action: Choose and destroy a character or support card with cost X or lower.			Core	Core	Core	LCG	playerNDeck
Core_Core057-E	Pulled Under	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PulledUnder.jpg	default	Event		Cthulhu		0						Action: Exhaust a character with at least 2 T icons to choose and destroy an exhausted non-Ancient One character.	E		Core	Core	Core	LCG	playerNDeck
Core_Core058	Get it Off!	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-GetItOff.jpg	default	Event		Cthulhu		1						Action: Choose and destroy an Attachment card.			Core	Core	Core	LCG	playerNDeck
Core_Core059	Sacrificial Offerings	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SacrificialOfferings.jpg	default	Event		Cthulhu		1						Action: Choose and wound a character controlled by an opponent. Then, that character's controller may choose and wound a character.			Core	Core	Core	LCG	playerNDeck
Core_Core060	Touched by the Sleeper	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-TouchedByTheSleeper.jpg	default	Event		Cthulhu		0						Action: Choose a [Cthulhu] character. Until the end of the phase, that character gains TT.			Core	Core	Core	LCG	playerNDeck
Core_Core061	Jack "Brass" Brady, Steeped in Violence	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-JackBrassBradySteepedInViolence.jpg	default	Character	Investigator	Syndicate	*	3		2		1	3	Disrupt: Before a triggered ability resolves, return Jack "Brass" Brady to his owner's hand.			Core	Core	Core	LCG	playerNDeck
Core_Core062	Dr. Marinus Bicknell Willett, Lost but Determined	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DrMarinusBicknellWillettLostButDetermined.jpg	default	Character	Sorcerer	Syndicate	*	4		1	1	1	3	Fast. Willpower.			Core	Core	Core	LCG	playerNDeck
Core_Core063	Richard Upton Pickman, Genius Painter	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-RichardUptonPickmanGeniusPainter.jpg	default	Character	Cultist	Syndicate	*	4		2		1	3	Action: Pay 2 to choose a character. Until the end of the phase, Richard Upton Pickman gains that character's keywords and triggered abilities. Then, treat that character as though its printed text box were blank until the end of the phase.			Core	Core	Core	LCG	playerNDeck
Core_Core064	Bag Man	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-BagMan.jpg	default	Character	Criminal	Syndicate		3		2		1	2	Fast.			Core	Core	Core	LCG	playerNDeck
Core_Core065	Clover Club Bouncer	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-CloverClubBouncer.jpg	default	Character	Criminal	Syndicate		1					1	Action: Exhaust to choose a character. Until the end of the phase, that character gets -1 skill.			Core	Core	Core	LCG	playerNDeck
Core_Core066	Clover Club Torch Singer	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-CloverClubTorchSinger.jpg	default	Character	Criminal	Syndicate		2		1			2	Action: Pay 1 to choose a character. Until the end of the phase, that character gets -2 skill.			Core	Core	Core	LCG	playerNDeck
Core_Core067	Triggerman	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Triggerman.jpg	default	Character	Criminal	Syndicate		2		1		1	2	Loyal. Willpower.			Core	Core	Core	LCG	playerNDeck
Core_Core068	Syndicate Liaison	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SyndicateLiaison.jpg	default	Character	Criminal	Syndicate		3			2		3	Forced Response: After Syndicate Liaison enters play, choose and exhaust a ready character, if able.			Core	Core	Core	LCG	playerNDeck
Core_Core069	Hard Case	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-HardCase.jpg	default	Character	Criminal	Syndicate		2		1			2	Response: After Hard Case enters play, choose and exhaust a character with printed cost X or lower. X is the number of domains you control.			Core	Core	Core	LCG	playerNDeck
Core_Core070	Patsy	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Patsy.jpg	default	Character	Criminal	Syndicate		1					1	Action: Sacrifice Patsy to discard exactly 2 success tokens from a story with 4 or fewer total success tokens.			Core	Core	Core	LCG	playerNDeck
Core_Core071	Extortionist	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Extortionist.jpg	default	Character	Criminal	Syndicate		2				2	1	Response: After Extortionist enters play from your hand, if you overpaid for Extortionist, choose and exhaust a non-Ancient One character.			Core	Core	Core	LCG	playerNDeck
Core_Core072	Freelance Photographer	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-FreelancePhotographer.jpg	default	Character	Investigator	Syndicate		4		2		1	2	Action: Pay 1 to ready Freelance Photographer.			Core	Core	Core	LCG	playerNDeck
Core_Core073	Dutch Courage	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DutchCourage.jpg	default	Support	Item	Syndicate		2						Characters you control gain Toughness +1.			Core	Core	Core	LCG	playerNDeck
Core_Core074	Cathouse	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Cathouse.jpg	default	Support	Location	Syndicate		2						Response: After you overpay for a triggered ability, choose and ready a character.			Core	Core	Core	LCG	playerNDeck
Core_Core075	Alhazred Lamp	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-AlhazredLamp.jpg	default	Support	Attachment. Item	Syndicate		2						Attach to a character. Attached character gains TCAI.			Core	Core	Core	LCG	playerNDeck
Core_Core076	Like a Moth	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LikeAMoth.jpg	default	Event		Syndicate		2						Action: Choose a character. Until the end of the phase, lower that character's printed skill to 0.			Core	Core	Core	LCG	playerNDeck
Core_Core077	Panic	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Panic.jpg	default	Event		Syndicate		X						Loyal. Action: Exhaust all characters with skill lower than X.			Core	Core	Core	LCG	playerNDeck
Core_Core078	Get On Yer Feet!	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-GetOnYerFeet.jpg	default	Event		Syndicate		1						Action: Choose and ready a character. If you overpaid for Get On Yer Feet!, that character gets +3 skill until the end of the phase.			Core	Core	Core	LCG	playerNDeck
Core_Core079	Low Blow	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LowBlow.jpg	default	Event		Syndicate		2						Action: Choose a character. If that character is ready, exhaust it. If it is exhausted, it goes insane.			Core	Core	Core	LCG	playerNDeck
Core_Core080	Legacy of Ramses	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LegacyOfRamses.jpg	default	Event	Ritual	Syndicate		2						Action: Choose and ready an exhausted character. Then, you may drain a domain you control to return Legacy of Ramses to your hand instead of discarding it.			Core	Core	Core	LCG	playerNDeck
Core_Core081	Hastur, The King in Yellow	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-HasturTheKingInYellow.jpg	default	Character	Ancient One	Hastur	*	6	3		2		6	Villainous. Toughness +4. Action: Pay 3 to choose a character. That character goes insane.			Core	Core	Core	LCG	playerNDeck
Core_Core082	Victoria Glasser, The Society Hostess	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-VictoriaGlasserTheSocietyHostess.jpg	default	Character	Cultist	Hastur	*	2	1		2		2	Villainous. Forced Response: After Victoria Glasser enters play, choose a character. That character goes insane.			Core	Core	Core	LCG	playerNDeck
Core_Core083	Yellow Muse	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-YellowMuse.jpg	default	Character	Cultist	Hastur		4	1	2			3	Fast. While Yellow Muse is committed to a story, all other characters committed to the same story lose Fast.			Core	Core	Core	LCG	playerNDeck
Core_Core084	Demon Lover	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DemonLover.jpg	default	Character	Servitor	Hastur		2	1		1		2	Action: Exhaust to choose a character. Until the end of the phase, that character gets -2 skill.			Core	Core	Core	LCG	playerNDeck
Core_Core085	Thing from the Stars	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ThingFromTheStars.jpg	default	Character	Monster	Hastur		5	3				3	Lower the cost to play Thing from the Stars by 1 (to a minimum of 1) for each resource type other than [Hastur] attached to the domain drained to pay for Thing from the Stars. Action: Exhaust to choose and destroy an insane character.			Core	Core	Core	LCG	playerNDeck
Core_Core086	Messenger from Beyond	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-MessengerFromBeyond.jpg	default	Character	Monster	Hastur		2			1		1	Action: Exhaust to choose a character. Until the end of the phase, that character loses a T icon.			Core	Core	Core	LCG	playerNDeck
Core_Core087	Performance Artist	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PerformanceArtist.jpg	default	Character	Cultist	Hastur		1					1	Disrupt: Sacrifice Performance Artist to cancel the effects of a character or support card ability.			Core	Core	Core	LCG	playerNDeck
Core_Core088	Byakhee Servant	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ByakheeServant.jpg	default	Character	Servitor	Hastur		3	1	2			3	Fast.			Core	Core	Core	LCG	playerNDeck
Core_Core089	Predatory Byakhee	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PredatoryByakhee.jpg	default	Character	Servitor	Hastur		4		2	1		3	Action: Sacrifice Predatory Byakhee to discard the top 3 cards from an opponent's deck.			Core	Core	Core	LCG	playerNDeck
Core_Core090	Bearer of the Yellow Sign	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-BearerOfTheYellowSign.jpg	default	Character	Cultist	Hastur		3	1		1		3	Response: After Bearer of the Yellow Sign enters play from your hand, if you overpaid for Bearer of the Yellow Sign, choose a character. That character goes insane.			Core	Core	Core	LCG	playerNDeck
Core_Core091	Ghost	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Ghost.jpg	default	Character	Monster	Hastur		1					1	While Ghost is committed to a story, it gains Invulnerability.			Core	Core	Core	LCG	playerNDeck
Core_Core092	Mad Artist	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-MadArtist.jpg	default	Character	Cultist	Hastur		2		1	1		2				Core	Core	Core	LCG	playerNDeck
Core_Core093	Victoria's Loft	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-VictoriasLoft.jpg	default	Support	Location	Hastur		3						During the refresh phase, insane characters cannot be restored.			Core	Core	Core	LCG	playerNDeck
Core_Core094	Sedated	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Sedated.jpg	default	Support	Attachment	Hastur		1						Attach to an insane character. Attached character cannot be restored.			Core	Core	Core	LCG	playerNDeck
Core_Core095	Byakhee Attack	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ByakheeAttack.jpg	default	Event		Hastur		2						Play during your operations phase. Action: Each opponent chooses and discards 2 cards from his hand, if able.			Core	Core	Core	LCG	playerNDeck
Core_Core096	Agoraphobia	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Agoraphobia.jpg	default	Event	Madness	Hastur		2						Action: Choose a character without any T icons. Return that character to its owner�s hand.			Core	Core	Core	LCG	playerNDeck
Core_Core097	Scotophobia	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Scotophobia.jpg	default	Event	Madness	Hastur		2						Action: Until the end of the phase, each character controlled by an opponent loses all of its printed T icons.			Core	Core	Core	LCG	playerNDeck
Core_Core098	Despair	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Despair.jpg	default	Event		Hastur		1						Response: After you win an icon struggle by at least 2 icons, choose a character without any Attachment cards on it. Return that character to its owner's hand.			Core	Core	Core	LCG	playerNDeck
Core_Core099	Blind Submission	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-BlindSubmission.jpg	default	Event	Madness	Hastur		2						Action: Choose a character with skill 2 or lower. Until the end of the phase, take control of that character.			Core	Core	Core	LCG	playerNDeck
Core_Core100	Power Drain	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PowerDrain.jpg	default	Event	Spell	Hastur		2						Disrupt: Cancel an Action or Response just played or used.			Core	Core	Core	LCG	playerNDeck
Core_Core101	Yog-Sothoth, In Whom the Spheres Meet	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-YogSothothInWhomTheSpheresMeet.jpg	default	Character	Ancient One	Yog-Sothoth	*	8	2	2	1		8	Villainous. Invulnerability. Lower the cost to play Yog-Sothoth by 1 for each Spell card in your discard pile (to a minimum of 1).			Core	Core	Core	LCG	playerNDeck
